date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,1268,1413,117,128,31,31
2020-04-13,1244,1605,156,140,32,31
2020-04-14,1185,1825,234,153,35,31
2020-04-15,1158,2056,312,168,38,31
2020-04-16,1151,2295,364,185,41,31
2020-04-17,1164,2528,411,204,42,31
2020-04-18,1147,2757,454,225,43,31
2020-04-19,1102,2972,519,248,44,31
2020-04-20,1059,3180,588,273,45,31
2020-04-21,1025,3373,651,300,48,31
2020-04-22,1016,3554,712,328,51,31
2020-04-23,977,3727,793,358,54,31
2020-04-24,939,3886,869,389,56,31
2020-04-25,901,4026,926,422,57,31
2020-04-26,882,4149,953,456,58,31
2020-04-27,870,4280,986,491,59,31
2020-04-28,836,4399,1036,527,61,32
2020-04-29,818,4499,1082,564,62,33
2020-04-30,794,4589,1127,602,62,34
2020-05-01,787,4676,1170,640,63,35
2020-05-02,747,4752,1234,679,64,36
2020-05-03,717,4835,1295,719,64,37
2020-05-04,692,4928,1342,759,64,38
2020-05-05,700,5015,1365,800,65,39
2020-05-06,710,5092,1378,842,66,40
2020-05-07,705,5158,1399,885,67,41
2020-05-08,699,5212,1420,928,68,42
2020-05-09,685,5244,1450,972,69,43
2020-05-10,682,5338,1480,1016,69,44
2020-05-11,689,5453,1502,1061,70,45
2020-05-12,695,5580,1517,1107,70,46
2020-05-13,708,5716,1533,1154,71,47
2020-05-14,704,5851,1555,1202,72,48
2020-05-15,728,5990,1572,1251,73,49
2020-05-16,726,6101,1597,1301,73,50
2020-05-17,735,6153,1622,1352,74,51
2020-05-18,726,6247,1642,1403,75,52
2020-05-19,741,6350,1655,1455,76,53
2020-05-20,743,6449,1668,1508,78,54
2020-05-21,765,6531,1692,1562,78,55
2020-05-22,772,6567,1714,1617,79,56
2020-05-23,751,6583,1775,1672,79,57
2020-05-24,672,6469,1863,1727,80,58
2020-05-25,561,6360,1985,1781,80,59
2020-05-26,509,6376,2061,1834,80,60
2020-05-27,489,6382,2128,1887,81,61
2020-05-28,505,6384,2160,1940,81,62
2020-05-29,498,6339,2201,1993,82,63
2020-05-30,497,6293,2225,2046,82,64
2020-05-31,496,6242,2249,2099,82,65
2020-06-01,524,6231,2263,2151,83,66
2020-06-02,547,6210,2271,2203,83,67
2020-06-03,583,6194,2286,2255,83,68
2020-06-04,610,6149,2318,2307,83,69
2020-06-05,636,6078,2360,2358,84,70
2020-06-06,627,6007,2418,2409,84,71
2020-06-07,604,6046,2467,2459,84,72
2020-06-08,597,6104,2501,2510,85,73
2020-06-09,614,6175,2524,2561,85,74
2020-06-10,598,6269,2563,2613,86,75
2020-06-11,583,6337,2622,2665,86,76
