date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2129,803,1046,120,131
2020-04-16,2459,2036,1003,1238,130,138
2020-04-17,2453,1953,1204,1422,140,145
2020-04-18,2458,1880,1405,1598,150,152
2020-04-19,2487,1817,1606,1768,160,159
2020-04-20,2524,1763,1806,1932,170,165
2020-04-21,2519,1719,2007,2091,181,171
2020-04-22,2521,1684,2208,2246,192,177
2020-04-23,2550,1657,2409,2398,201,183
2020-04-24,2616,1638,2609,2548,210,189
2020-04-25,2658,1627,2810,2696,219,195
2020-04-26,2671,1623,3011,2843,225,201
2020-04-27,2672,1626,3212,2990,231,207
2020-04-28,2683,1635,3413,3137,239,213
2020-04-29,2711,1650,3614,3285,250,219
2020-04-30,2785,1671,3816,3434,264,225
2020-05-01,2862,1697,4017,3585,277,231
2020-05-02,2891,1729,4219,3738,291,237
2020-05-03,2880,1766,4441,3894,301,243
2020-05-04,2876,1808,4684,4053,318,249
2020-05-05,2879,1854,4948,4216,342,255
2020-05-06,2857,1905,5212,4383,370,261
2020-05-07,2864,1961,5476,4555,393,268
2020-05-08,2903,2021,5740,4732,408,275
2020-05-09,2899,2084,6004,4914,420,282
2020-05-10,2842,2150,6247,5102,428,289
2020-05-11,2785,2219,6469,5296,440,296
2020-05-12,2767,2291,6671,5496,452,304
2020-05-13,2820,2367,6873,5703,467,312
2020-05-14,2904,2446,7075,5917,479,320
2020-05-15,3031,2528,7277,6138,494,328
2020-05-16,3086,2613,7479,6366,508,337
2020-05-17,3069,2700,7695,6602,519,346
2020-05-18,3017,2790,7926,6846,534,355
2020-05-19,2979,2883,8172,7098,550,364
2020-05-20,2978,2980,8418,7358,568,374
2020-05-21,3027,3079,8663,7627,581,384
2020-05-22,3111,3180,8909,7905,597,394
2020-05-23,3196,3281,9155,8192,612,405
2020-05-24,3212,3381,9404,8488,625,416
2020-05-25,3188,3482,9658,8793,637,427
2020-05-26,3177,3584,9915,9107,652,439
2020-05-27,3205,3689,10173,9431,671,451
2020-05-28,3282,3797,10430,9764,691,463
2020-05-29,3402,3907,10688,10107,708,476
2020-05-30,3514,4018,10945,10460,722,489
2020-05-31,3550,4129,11219,10823,732,502
2020-06-01,3516,4243,11510,11196,746,516
2020-06-02,3458,4361,11818,11579,762,530
2020-06-03,3401,4482,12125,11973,781,544
2020-06-04,3324,4606,12433,12378,793,559
2020-06-05,3247,4732,12740,12794,802,574
