date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2128,803,1046,120,131
2020-04-16,2459,2035,1003,1238,130,138
2020-04-17,2453,1952,1204,1422,140,145
2020-04-18,2458,1878,1405,1598,150,152
2020-04-19,2487,1814,1606,1768,160,159
2020-04-20,2524,1760,1806,1932,170,165
2020-04-21,2519,1716,2007,2091,181,171
2020-04-22,2521,1680,2208,2246,192,177
2020-04-23,2550,1653,2409,2398,201,183
2020-04-24,2616,1633,2609,2547,210,189
2020-04-25,2658,1621,2810,2694,219,195
2020-04-26,2671,1616,3011,2840,225,201
2020-04-27,2672,1618,3212,2986,231,207
2020-04-28,2683,1626,3413,3132,239,213
2020-04-29,2711,1640,3614,3279,250,219
2020-04-30,2785,1660,3816,3427,264,225
2020-05-01,2862,1685,4017,3577,277,231
2020-05-02,2891,1715,4219,3729,291,237
2020-05-03,2880,1750,4441,3884,301,243
2020-05-04,2876,1790,4684,4042,318,249
2020-05-05,2879,1835,4948,4204,342,255
2020-05-06,2857,1884,5212,4370,370,261
2020-05-07,2864,1938,5476,4540,393,268
2020-05-08,2903,1996,5740,4715,408,275
2020-05-09,2899,2057,6004,4895,420,282
2020-05-10,2842,2121,6247,5081,428,289
2020-05-11,2785,2188,6469,5273,440,296
2020-05-12,2767,2258,6671,5471,452,304
2020-05-13,2820,2332,6873,5675,467,312
2020-05-14,2904,2409,7075,5886,479,320
2020-05-15,3031,2489,7277,6104,494,328
2020-05-16,3086,2572,7479,6329,508,336
2020-05-17,3069,2657,7695,6561,519,345
2020-05-18,3017,2746,7926,6801,534,354
2020-05-19,2979,2838,8172,7049,550,363
2020-05-20,2978,2933,8418,7305,568,373
2020-05-21,3027,3031,8663,7570,581,383
2020-05-22,3111,3132,8909,7844,597,393
2020-05-23,3196,3233,9155,8127,612,404
2020-05-24,3212,3334,9404,8419,625,415
2020-05-25,3188,3435,9658,8720,637,426
2020-05-26,3177,3539,9915,9030,652,437
2020-05-27,3205,3646,10173,9350,671,449
2020-05-28,3282,3756,10430,9679,691,461
2020-05-29,3402,3870,10688,10018,708,473
2020-05-30,3514,3985,10945,10367,722,486
2020-05-31,3550,4102,11219,10727,732,499
2020-06-01,3516,4223,11510,11097,746,513
2020-06-02,3458,4348,11818,11478,762,527
2020-06-03,3401,4478,12125,11871,781,541
2020-06-04,3324,4612,12433,12275,793,556
2020-06-05,3247,4749,12740,12691,802,571
