date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2604,3298,658,695,93,94
2020-04-13,2450,4010,877,742,94,95
2020-04-14,2117,4721,1316,799,100,96
2020-04-15,1854,5421,1755,866,104,98
2020-04-16,1590,6090,2194,943,111,100
2020-04-17,1491,6733,2486,1029,115,102
2020-04-18,1351,7349,2772,1124,118,105
2020-04-19,1376,7938,2861,1228,120,108
2020-04-20,1209,8483,3089,1340,122,111
2020-04-21,1178,9027,3241,1460,129,114
2020-04-22,1058,9553,3509,1588,138,118
2020-04-23,1130,10048,3637,1723,149,122
2020-04-24,1187,10501,3736,1865,157,126
2020-04-25,1302,10929,3806,2014,165,130
2020-04-26,1370,11335,3912,2169,172,135
2020-04-27,1298,11718,4135,2329,181,140
2020-04-28,1184,12078,4359,2495,200,145
2020-04-29,1099,12420,4582,2666,222,150
2020-04-30,1116,12708,4718,2842,243,156
2020-05-01,1219,12984,4805,3022,255,162
2020-05-02,1346,13236,4844,3206,266,168
2020-05-03,1465,13458,4883,3393,275,174
2020-05-04,1534,13652,4922,3583,284,180
2020-05-05,1568,13829,4981,3776,294,187
2020-05-06,1605,13968,5062,3972,305,194
2020-05-07,1671,14093,5163,4170,313,201
2020-05-08,1493,14205,5530,4369,322,208
2020-05-09,1025,14300,6164,4570,327,215
2020-05-10,259,14415,7063,4772,335,222
2020-05-11,-216,14509,7662,4976,344,229
2020-05-12,-427,14584,7989,5181,354,237
2020-05-13,-431,14640,8117,5387,362,245
2020-05-14,-408,14654,8245,5594,371,253
2020-05-15,-333,14608,8373,5801,379,261
2020-05-16,-223,14465,8467,6008,384,269
2020-05-17,-142,14344,8561,6213,387,277
2020-05-18,-109,14264,8656,6416,391,285
2020-05-19,-94,14191,8752,6618,399,293
2020-05-20,-52,14110,8849,6819,407,301
2020-05-21,33,13960,8950,7019,414,309
2020-05-22,164,13699,9053,7217,420,317
2020-05-23,289,13259,9160,7411,426,325
2020-05-24,391,12851,9231,7599,433,333
2020-05-25,470,12500,9319,7781,440,341
2020-05-26,542,12211,9412,7958,450,349
2020-05-27,604,12002,9544,8131,460,356
2020-05-28,707,11812,9666,8301,473,363
2020-05-29,831,11596,9792,8468,480,370
2020-05-30,1052,11296,9921,8632,488,377
2020-05-31,1257,11084,10050,8792,493,384
2020-06-01,1460,10858,10178,8949,502,391
2020-06-02,1509,10644,10303,9103,513,398
2020-06-03,1461,10435,10427,9254,526,405
2020-06-04,1667,10216,10558,9402,535,412
2020-06-05,1868,9996,10696,9547,542,419
2020-06-06,2344,9708,10841,9688,544,426
2020-06-07,2643,9488,10986,9825,549,432
2020-06-08,3046,9294,11167,9959,557,438
2020-06-09,3312,9095,11383,10091,566,444
2020-06-10,3597,8942,11634,10220,577,450
2020-06-11,3981,8756,11889,10347,585,456
2020-06-12,4445,8584,12149,10471,593,462
2020-06-13,4963,8384,12412,10592,597,468
2020-06-14,5433,8241,12675,10711,600,474
2020-06-15,5816,8070,12967,10828,603,480
2020-06-16,6075,7947,13290,10942,608,486
2020-06-17,6435,7871,13642,11054,615,492
2020-06-18,6936,7766,14003,11165,625,498
2020-06-19,7622,7677,14375,11275,634,504
2020-06-20,8272,7466,14757,11384,645,509
2020-06-21,8902,7317,15139,11490,652,514
2020-06-22,9451,7229,15520,11594,661,519
2020-06-23,10139,7109,15900,11696,671,524
2020-06-24,10866,6972,16280,11797,683,529
2020-06-25,11692,6836,16701,11896,690,534
2020-06-26,12569,6796,17163,11993,699,539
2020-06-27,13489,6684,17667,12089,707,544
2020-06-28,14414,6685,18171,12184,715,549
2020-06-29,15385,6668,18676,12279,725,554
2020-06-30,16396,6678,19182,12373,741,559
2020-07-01,17552,6699,19690,12468,763,564
2020-07-02,18724,6740,20211,12563,781,569
2020-07-03,19998,6819,20744,12658,796,574
2020-07-04,21155,6803,21291,12755,808,579
2020-07-05,22212,6887,21838,12851,820,584
2020-07-06,22962,6965,22399,12948,831,589
2020-07-07,23718,7051,22976,13047,852,594
2020-07-08,24537,7141,23568,13147,878,599
2020-07-09,25804,7209,23962,13248,906,604
2020-07-10,27514,7334,24160,13350,928,609
2020-07-11,28998,7349,24642,13454,947,615
2020-07-12,29936,7468,25607,13558,961,621
2020-07-13,30854,7555,26571,13664,975,627
2020-07-14,31976,7600,27303,13771,987,633
2020-07-15,33414,7702,27804,13879,1020,639
2020-07-16,34518,7820,28556,13988,1054,645
2020-07-17,35510,7943,29307,14099,1100,651
2020-07-18,37130,8004,29627,14211,1128,657
2020-07-19,38583,8132,29946,14324,1151,663
2020-07-20,40136,8247,30272,14439,1180,669
2020-07-21,41012,8307,31038,14556,1223,675
2020-07-22,41904,8350,31810,14674,1280,681
2020-07-23,42802,8412,32614,14792,1334,687
2020-07-24,43560,8517,33452,14911,1394,693
2020-07-25,44168,8490,34322,15032,1447,699
2020-07-26,44528,8538,35192,15152,1487,705
2020-07-27,45117,8550,35937,15273,1520,711
2020-07-28,46005,8588,36556,15394,1562,717
2020-07-29,47176,8649,37050,15516,1615,723
2020-07-30,48269,8741,37544,15638,1664,729
2020-07-31,49313,8889,38038,15762,1710,735
2020-08-01,50188,8988,38532,15888,1746,742
2020-08-02,50979,9215,39026,16015,1773,749
2020-08-03,51650,9434,39520,16145,1805,756
2020-08-04,52345,9611,40014,16279,1844,763
2020-08-05,53083,9840,40508,16415,1894,770
2020-08-06,53806,10048,41090,16554,1932,777
2020-08-07,54426,10291,41761,16696,1970,784
2020-08-08,54849,10463,42521,16842,2000,791
2020-08-09,55041,10653,43281,16990,2028,799
2020-08-10,55183,10828,43998,17141,2059,807
2020-08-11,55318,11041,44672,17294,2096,815
2020-08-12,55558,11270,45303,17450,2142,823
2020-08-13,55051,11501,46679,17609,2177,831
2020-08-14,53860,11731,48800,17772,2216,839
2020-08-15,51829,11932,51666,17938,2244,847
2020-08-16,49639,12180,54532,18107,2272,855
2020-08-17,48297,12390,56442,18279,2300,863
2020-08-18,48274,12607,57073,18454,2330,872
2020-08-19,48394,12783,57704,18632,2368,881
2020-08-20,48627,12891,58335,18813,2406,890
2020-08-21,48506,13071,59373,18995,2451,899
2020-08-22,48033,13288,60701,19180,2485,908
2020-08-23,47412,13485,62029,19368,2502,917
2020-08-24,47039,13671,63121,19559,2514,926
2020-08-25,46863,13888,63976,19752,2537,935
2020-08-26,46888,14099,64594,19949,2576,944
2020-08-27,47048,14292,65213,20149,2618,953
2020-08-28,47440,14528,65831,20351,2660,962
2020-08-29,48036,14731,66450,20557,2687,971
2020-08-30,48410,14955,67068,20765,2709,980
2020-08-31,48638,15179,67687,20977,2728,989
