date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,938,1076,379,470,28,29
2020-04-13,972,1215,395,574,29,30
2020-04-14,1026,1323,435,692,31,31
2020-04-15,1040,1398,488,820,34,32
2020-04-16,1049,1444,543,955,36,33
2020-04-17,1035,1483,614,1095,37,34
2020-04-18,1030,1501,672,1238,38,35
2020-04-19,1069,1516,724,1383,39,36
2020-04-20,1114,1541,759,1530,41,38
2020-04-21,1229,1560,807,1679,43,40
2020-04-22,1386,1579,858,1830,44,42
2020-04-23,1618,1599,898,1983,45,44
2020-04-24,1796,1620,931,2138,46,46
2020-04-25,1899,1629,959,2295,49,48
2020-04-26,1962,1630,978,2453,53,50
2020-04-27,1970,1658,1039,2611,56,52
2020-04-28,1943,1684,1127,2771,59,54
2020-04-29,1907,1718,1233,2934,60,56
2020-04-30,1699,1760,1509,3100,62,58
2020-05-01,1510,1782,1755,3270,65,60
2020-05-02,1326,1791,1986,3442,70,62
2020-05-03,1357,1788,2000,3615,76,64
2020-05-04,1387,1822,2018,3788,79,66
2020-05-05,1404,1857,2055,3964,83,68
2020-05-06,1436,1901,2091,4144,86,70
2020-05-07,1469,1948,2130,4328,88,72
2020-05-08,1197,1992,2446,4516,89,74
2020-05-09,957,2044,2788,4709,90,76
2020-05-10,724,2057,3118,4907,92,78
2020-05-11,798,2093,3182,5106,93,81
2020-05-12,828,2139,3224,5308,95,84
2020-05-13,892,2175,3267,5515,96,87
2020-05-14,943,2222,3314,5725,98,90
2020-05-15,991,2274,3379,5940,99,93
2020-05-16,1017,2323,3484,6160,99,96
2020-05-17,1048,2340,3569,6385,99,99
2020-05-18,1073,2392,3658,6611,100,102
2020-05-19,1065,2444,3745,6842,103,105
2020-05-20,1187,2490,3835,7078,106,108
2020-05-21,1296,2529,3951,7319,110,111
2020-05-22,1453,2576,4050,7564,112,114
2020-05-23,1527,2620,4128,7813,114,117
2020-05-24,1611,2620,4181,8066,116,121
2020-05-25,1683,2617,4243,8319,117,125
2020-05-26,1709,2674,4335,8572,118,129
2020-05-27,1667,2739,4543,8831,121,133
2020-05-28,1584,2797,4821,9096,125,137
2020-05-29,1578,2893,5068,9367,130,141
2020-05-30,1679,3011,5202,9647,133,145
2020-05-31,1768,3054,5333,9938,135,149
2020-06-01,1852,3083,5517,10233,135,153
2020-06-02,1940,3098,5698,10531,138,157
2020-06-03,2142,3124,5818,10831,143,161
2020-06-04,2348,3154,5885,11133,148,166
2020-06-05,2539,3203,6034,11438,152,171
2020-06-06,2628,3295,6278,11748,153,176
2020-06-07,2672,3172,6596,12067,154,181
2020-06-08,2792,3119,6799,12374,157,186
2020-06-09,2947,3063,6955,12676,160,191
2020-06-10,3142,3036,7114,12972,165,196
2020-06-11,3299,3012,7441,13266,170,201
2020-06-12,3539,2995,7773,13557,174,206
2020-06-13,3844,2966,8026,13847,177,211
2020-06-14,4027,2935,8298,14134,179,216
2020-06-15,4093,2961,8593,14418,183,221
