time,0
2020_04_12,"[[9.7174670e+06 1.5510000e+03 1.9529000e+04 2.7907000e+04 3.6650000e+03]
 [1.1940000e+03 3.9872360e+06 9.4200000e+02 1.8479000e+04 2.4010000e+03]
 [1.4511000e+04 1.4250000e+03 2.7769690e+06 8.4217000e+04 1.0040000e+03]
 [2.2661000e+04 2.4412000e+04 4.7170000e+04 3.9820832e+07 1.1782000e+04]
 [3.1710000e+03 2.2600000e+03 1.3850000e+03 1.3780000e+04 1.1423959e+07]]"
2020_04_13,"[[1.0940698e+07 1.2870000e+03 2.1533000e+04 2.9451000e+04 3.7250000e+03]
 [1.4350000e+03 5.3097480e+06 1.0660000e+03 2.5508000e+04 3.3710000e+03]
 [1.8298000e+04 1.8670000e+03 3.0614260e+06 1.0548500e+05 9.2100000e+02]
 [2.3029000e+04 2.8470000e+04 5.8146000e+04 4.6561976e+07 1.3350000e+04]
 [2.7390000e+03 2.6310000e+03 1.1710000e+03 1.4582000e+04 1.2386213e+07]]"
2020_04_14,"[[1.1577539e+07 1.3960000e+03 2.3633000e+04 3.0150000e+04 4.0830000e+03]
 [1.9740000e+03 5.5221730e+06 1.0570000e+03 2.6075000e+04 2.8060000e+03]
 [1.7208000e+04 1.7930000e+03 3.2821460e+06 1.1547100e+05 9.3500000e+02]
 [2.6637000e+04 3.0767000e+04 6.5570000e+04 4.7815941e+07 1.4017000e+04]
 [2.9900000e+03 2.7760000e+03 1.4560000e+03 1.6039000e+04 1.3287836e+07]]"
2020_04_15,"[[1.1680674e+07 1.4770000e+03 2.6151000e+04 3.0978000e+04 4.3060000e+03]
 [1.7710000e+03 5.8017070e+06 1.2320000e+03 2.6158000e+04 2.7060000e+03]
 [1.9076000e+04 1.6380000e+03 3.4710260e+06 1.1662500e+05 7.9200000e+02]
 [2.7725000e+04 3.0351000e+04 7.1349000e+04 5.0292871e+07 1.5568000e+04]
 [3.3960000e+03 3.6330000e+03 1.2630000e+03 1.6232000e+04 1.3534472e+07]]"
2020_04_16,"[[1.1794666e+07 1.6400000e+03 2.6769000e+04 3.0870000e+04 3.5530000e+03]
 [1.8040000e+03 5.8418480e+06 1.1500000e+03 2.4823000e+04 3.2530000e+03]
 [1.8425000e+04 1.5860000e+03 3.4477100e+06 1.1351500e+05 9.2500000e+02]
 [2.6870000e+04 2.9400000e+04 7.1168000e+04 5.0539805e+07 1.4394000e+04]
 [2.9850000e+03 3.0650000e+03 1.6630000e+03 1.6169000e+04 1.3844824e+07]]"
2020_04_17,"[[1.2375834e+07 1.4770000e+03 2.8233000e+04 3.4374000e+04 4.3250000e+03]
 [1.2500000e+03 6.1307450e+06 1.1660000e+03 2.5349000e+04 3.3720000e+03]
 [1.9844000e+04 1.7750000e+03 3.6048420e+06 1.2865800e+05 1.3770000e+03]
 [2.5801000e+04 3.0438000e+04 7.1650000e+04 5.1272906e+07 1.5027000e+04]
 [3.9140000e+03 3.2420000e+03 1.7200000e+03 1.7180000e+04 1.4400796e+07]]"
2020_04_18,"[[1.1889506e+07 1.7170000e+03 2.4691000e+04 3.5726000e+04 3.6490000e+03]
 [9.7600000e+02 5.6279250e+06 1.2260000e+03 2.3382000e+04 3.3740000e+03]
 [1.7493000e+04 2.3940000e+03 3.3784230e+06 1.2014200e+05 1.1150000e+03]
 [2.4515000e+04 2.9673000e+04 7.0122000e+04 4.8390358e+07 1.3478000e+04]
 [3.8110000e+03 2.9620000e+03 1.6980000e+03 1.6352000e+04 1.3168712e+07]]"
2020_04_19,"[[1.0443188e+07 1.3340000e+03 2.0854000e+04 3.0864000e+04 2.8770000e+03]
 [1.2310000e+03 4.3993930e+06 1.0660000e+03 2.2432000e+04 3.0630000e+03]
 [1.7168000e+04 1.4640000e+03 3.1220500e+06 1.0550500e+05 1.1120000e+03]
 [2.2289000e+04 2.6350000e+04 5.8745000e+04 4.3465950e+07 1.4059000e+04]
 [3.3650000e+03 2.6440000e+03 1.9230000e+03 1.6367000e+04 1.2681556e+07]]"
2020_04_20,"[[1.1363320e+07 1.5340000e+03 2.4783000e+04 3.1955000e+04 3.8250000e+03]
 [1.6720000e+03 5.6167810e+06 1.1190000e+03 2.4338000e+04 3.4650000e+03]
 [1.8763000e+04 2.1360000e+03 3.3195130e+06 1.1074100e+05 1.1540000e+03]
 [2.6250000e+04 3.0181000e+04 6.6660000e+04 4.8008772e+07 1.5401000e+04]
 [2.9510000e+03 3.1230000e+03 1.4850000e+03 1.6721000e+04 1.2851322e+07]]"
2020_04_21,"[[1.1130165e+07 1.6590000e+03 2.7110000e+04 3.4377000e+04 4.3520000e+03]
 [2.1020000e+03 5.7039540e+06 1.3310000e+03 2.7147000e+04 4.0740000e+03]
 [2.0768000e+04 1.8070000e+03 3.3595750e+06 1.2208500e+05 1.0430000e+03]
 [3.0571000e+04 3.3440000e+04 7.4320000e+04 4.8879436e+07 1.8632000e+04]
 [3.2120000e+03 3.5720000e+03 1.6240000e+03 1.6367000e+04 1.3305742e+07]]"
2020_04_22,"[[1.151163e+07 2.073000e+03 2.944300e+04 3.719100e+04 4.147000e+03]
 [1.593000e+03 5.509106e+06 1.580000e+03 2.720900e+04 4.269000e+03]
 [2.050200e+04 2.326000e+03 3.367603e+06 1.191910e+05 1.543000e+03]
 [3.156300e+04 3.435000e+04 7.812000e+04 4.790847e+07 1.772500e+04]
 [3.357000e+03 3.394000e+03 1.706000e+03 1.633000e+04 1.381332e+07]]"
2020_04_23,"[[1.1562583e+07 1.6550000e+03 2.9239000e+04 3.7476000e+04 4.2800000e+03]
 [1.4770000e+03 5.5080300e+06 1.2200000e+03 2.6219000e+04 4.2000000e+03]
 [2.2024000e+04 2.3860000e+03 3.4348160e+06 1.2576600e+05 1.0870000e+03]
 [3.2569000e+04 3.5062000e+04 7.7142000e+04 5.0755795e+07 1.7588000e+04]
 [3.3740000e+03 2.9910000e+03 1.5320000e+03 1.6746000e+04 1.3193608e+07]]"
2020_04_24,"[[1.1996572e+07 2.0250000e+03 3.1174000e+04 3.6556000e+04 3.6260000e+03]
 [1.5240000e+03 6.1854630e+06 1.3650000e+03 2.6922000e+04 4.1090000e+03]
 [2.1005000e+04 2.0350000e+03 3.5481820e+06 1.4078600e+05 1.4840000e+03]
 [3.0799000e+04 3.6236000e+04 7.8806000e+04 5.2804712e+07 1.7048000e+04]
 [3.6760000e+03 2.7990000e+03 1.3990000e+03 1.7820000e+04 1.3864030e+07]]"
2020_04_25,"[[1.1219127e+07 1.8020000e+03 2.8285000e+04 3.6665000e+04 4.2180000e+03]
 [1.3370000e+03 5.6735570e+06 1.7020000e+03 2.4626000e+04 3.7010000e+03]
 [1.9401000e+04 2.0040000e+03 3.3597190e+06 1.3427700e+05 1.1630000e+03]
 [2.9542000e+04 3.6314000e+04 8.0561000e+04 5.0791881e+07 1.6482000e+04]
 [3.8980000e+03 2.9900000e+03 1.7030000e+03 1.9247000e+04 1.3284819e+07]]"
2020_04_26,"[[1.0580942e+07 1.5430000e+03 2.6907000e+04 3.5207000e+04 4.0300000e+03]
 [1.3680000e+03 5.1989620e+06 1.4090000e+03 2.3306000e+04 2.7780000e+03]
 [1.8216000e+04 1.3910000e+03 3.0781150e+06 1.1635400e+05 9.4400000e+02]
 [2.8404000e+04 3.1766000e+04 6.6202000e+04 4.6503410e+07 1.5363000e+04]
 [3.9110000e+03 2.8480000e+03 1.9930000e+03 1.6388000e+04 1.2144404e+07]]"
2020_04_27,"[[1.1346021e+07 1.4400000e+03 2.9734000e+04 3.5849000e+04 4.7900000e+03]
 [1.3060000e+03 5.7674630e+06 9.4200000e+02 2.4858000e+04 3.0020000e+03]
 [2.0081000e+04 1.8510000e+03 3.3308270e+06 1.2253100e+05 1.0820000e+03]
 [3.0900000e+04 3.0973000e+04 7.3185000e+04 4.9611240e+07 1.6216000e+04]
 [3.4750000e+03 3.2280000e+03 1.8040000e+03 1.7718000e+04 1.3344897e+07]]"
2020_04_28,"[[1.1562401e+07 1.5060000e+03 3.0741000e+04 3.7163000e+04 4.7170000e+03]
 [1.1290000e+03 5.7171810e+06 1.0620000e+03 2.6015000e+04 3.9190000e+03]
 [1.9979000e+04 2.1480000e+03 3.4069860e+06 1.2938400e+05 1.2840000e+03]
 [2.9780000e+04 3.2312000e+04 7.5194000e+04 4.8895942e+07 1.7436000e+04]
 [3.9340000e+03 3.6860000e+03 1.9860000e+03 1.6713000e+04 1.3560445e+07]]"
2020_04_29,"[[1.1401103e+07 1.4850000e+03 3.1522000e+04 3.8596000e+04 4.0450000e+03]
 [1.2740000e+03 5.6352360e+06 1.4890000e+03 2.8197000e+04 4.1850000e+03]
 [1.9869000e+04 2.0130000e+03 3.4186870e+06 1.2751500e+05 1.7680000e+03]
 [3.2084000e+04 3.2708000e+04 7.6227000e+04 4.9639051e+07 1.8008000e+04]
 [3.5890000e+03 3.1330000e+03 1.8610000e+03 1.7262000e+04 1.3799360e+07]]"
2020_04_30,"[[1.1842918e+07 1.7470000e+03 3.3286000e+04 4.0337000e+04 4.2780000e+03]
 [1.5670000e+03 6.0980470e+06 1.3220000e+03 3.0887000e+04 3.9660000e+03]
 [2.2377000e+04 2.1610000e+03 3.4357600e+06 1.3536800e+05 1.2280000e+03]
 [3.5511000e+04 3.5978000e+04 8.3337000e+04 5.2880535e+07 1.9027000e+04]
 [4.7330000e+03 3.6410000e+03 2.0690000e+03 1.8149000e+04 1.3144529e+07]]"
2020_05_01,"[[1.2475776e+07 1.3940000e+03 3.1233000e+04 3.1831000e+04 2.3530000e+03]
 [1.4700000e+03 6.6391300e+06 1.4200000e+03 2.3800000e+04 2.8020000e+03]
 [1.9754000e+04 1.4700000e+03 3.7442820e+06 1.3077200e+05 1.3800000e+03]
 [2.7740000e+04 2.9893000e+04 7.6316000e+04 5.6642957e+07 1.3696000e+04]
 [2.9690000e+03 2.6840000e+03 1.1370000e+03 1.1272000e+04 1.4729868e+07]]"
2020_05_02,"[[1.2047074e+07 1.5710000e+03 2.9208000e+04 3.3475000e+04 2.5790000e+03]
 [1.4480000e+03 6.1803270e+06 1.0860000e+03 2.3534000e+04 2.7540000e+03]
 [1.7741000e+04 1.4460000e+03 3.4867610e+06 1.3391200e+05 1.1850000e+03]
 [2.6994000e+04 3.3636000e+04 7.9524000e+04 5.4620988e+07 1.4227000e+04]
 [3.1560000e+03 2.2620000e+03 1.4590000e+03 1.2806000e+04 1.4665762e+07]]"
2020_05_03,"[[1.1111711e+07 1.5780000e+03 2.4291000e+04 2.9087000e+04 2.9510000e+03]
 [1.3760000e+03 5.4816700e+06 9.9400000e+02 2.2506000e+04 2.4250000e+03]
 [1.5237000e+04 1.3370000e+03 3.2037600e+06 1.0598100e+05 1.0340000e+03]
 [2.5963000e+04 2.7954000e+04 6.6552000e+04 4.9772040e+07 1.2110000e+04]
 [2.4480000e+03 2.0760000e+03 1.7820000e+03 1.2379000e+04 1.3267742e+07]]"
2020_05_04,"[[1.1737810e+07 1.3760000e+03 2.3947000e+04 3.0623000e+04 2.9790000e+03]
 [1.5060000e+03 6.1013200e+06 1.1330000e+03 2.6774000e+04 2.6650000e+03]
 [1.7447000e+04 1.6510000e+03 3.5042180e+06 1.1866600e+05 1.0460000e+03]
 [2.7106000e+04 2.6951000e+04 6.9792000e+04 5.2201545e+07 1.4505000e+04]
 [3.1020000e+03 2.1640000e+03 9.3800000e+02 1.1815000e+04 1.4057579e+07]]"
2020_05_05,"[[1.1876453e+07 1.8030000e+03 2.6210000e+04 3.1358000e+04 3.5320000e+03]
 [1.6070000e+03 6.0455410e+06 1.1350000e+03 2.7250000e+04 2.2450000e+03]
 [1.8019000e+04 1.6290000e+03 3.5316150e+06 1.1331100e+05 9.0700000e+02]
 [2.6927000e+04 2.8813000e+04 7.2053000e+04 5.2610917e+07 1.3980000e+04]
 [3.7950000e+03 2.2300000e+03 1.1870000e+03 1.2898000e+04 1.3597348e+07]]"
