date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,769,2437,14,32,19,19
2020-04-13,796,2325,19,90,19,20
2020-04-14,821,2358,29,145,20,21
2020-04-15,857,2354,39,201,20,22
2020-04-16,903,2366,48,257,22,23
2020-04-17,1006,2377,58,313,25,24
2020-04-18,1168,2399,68,369,27,25
2020-04-19,1349,2427,78,426,30,26
2020-04-20,1482,2446,87,484,33,27
2020-04-21,1581,2459,97,542,37,28
2020-04-22,1752,2469,107,600,41,29
2020-04-23,1983,2486,117,659,46,30
2020-04-24,2269,2502,127,718,52,31
2020-04-25,2531,2536,136,777,56,32
2020-04-26,2830,2583,146,837,59,33
2020-04-27,3082,2604,156,898,63,34
2020-04-28,3343,2612,166,960,66,35
2020-04-29,3640,2623,175,1022,68,36
2020-04-30,4124,2630,185,1084,71,37
2020-05-01,4599,2651,195,1146,74,38
2020-05-02,5045,2687,205,1209,78,39
2020-05-03,5376,2727,214,1273,81,40
2020-05-04,5718,2750,221,1338,84,41
2020-05-05,5980,2774,299,1403,87,42
2020-05-06,6260,2799,449,1469,89,43
2020-05-07,6515,2819,674,1535,91,44
2020-05-08,6756,2842,899,1602,93,45
2020-05-09,6809,2877,1123,1669,95,46
2020-05-10,6778,2936,1348,1737,97,47
2020-05-11,6699,2974,1573,1807,98,48
2020-05-12,6717,3004,1798,1877,102,49
2020-05-13,6772,3027,2022,1948,107,50
2020-05-14,6902,3051,2247,2020,111,51
2020-05-15,7107,3091,2472,2092,117,52
2020-05-16,7182,3150,2697,2165,123,53
2020-05-17,7289,3222,2921,2240,130,54
2020-05-18,7272,3266,3146,2316,134,55
2020-05-19,7358,3316,3371,2393,138,56
2020-05-20,7396,3362,3596,2472,142,57
2020-05-21,7437,3411,3821,2552,145,58
2020-05-22,7491,3481,4045,2633,148,59
2020-05-23,7500,3596,4270,2715,149,60
2020-05-24,7508,3700,4495,2800,150,61
2020-05-25,7500,3818,4720,2888,151,62
2020-05-26,7559,3901,4944,2978,152,63
2020-05-27,7625,3960,5169,3070,156,64
2020-05-28,7739,4021,5394,3164,160,65
2020-05-29,7815,4091,5619,3259,166,66
2020-05-30,7870,4167,5843,3356,171,67
2020-05-31,7873,4266,6068,3455,176,68
2020-06-01,7881,4331,6293,3556,180,69
2020-06-02,7914,4389,6518,3659,183,70
2020-06-03,7940,4436,6755,3763,185,72
2020-06-04,7841,4501,7115,3868,187,74
2020-06-05,7665,4592,7520,3975,187,76
2020-06-06,7424,4714,7936,4084,187,78
2020-06-07,7265,4752,8222,4196,187,80
2020-06-08,7152,4709,8449,4309,188,82
2020-06-09,7094,4661,8637,4421,189,84
2020-06-10,7099,4618,8801,4531,197,86
2020-06-11,7094,4582,8998,4640,206,88
2020-06-12,7016,4570,9261,4749,215,90
2020-06-13,6840,4568,9572,4857,218,92
2020-06-14,6651,4614,9870,4965,219,94
2020-06-15,6533,4602,10117,5074,223,96
2020-06-16,6479,4586,10333,5183,228,98
2020-06-17,6446,4551,10547,5292,234,100
2020-06-18,6387,4527,10785,5400,239,102
2020-06-19,6279,4503,11046,5507,244,104
2020-06-20,6141,4484,11314,5614,247,106
2020-06-21,6028,4519,11551,5720,248,108
2020-06-22,5934,4504,11773,5827,251,110
2020-06-23,5853,4493,11987,5934,254,112
2020-06-24,5799,4467,12166,6040,257,114
2020-06-25,5824,4446,12278,6146,261,116
2020-06-26,5842,4428,12442,6251,264,118
2020-06-27,5777,4430,12688,6356,267,120
2020-06-28,5613,4524,13024,6461,268,122
2020-06-29,5462,4565,13307,6568,270,124
2020-06-30,5368,4571,13535,6676,273,126
2020-07-01,5339,4569,13697,6784,277,128
2020-07-02,5339,4564,13855,6892,280,130
2020-07-03,5354,4587,14009,7000,283,132
2020-07-04,5334,4685,14187,7109,284,134
2020-07-05,5257,4840,14393,7220,284,136
2020-07-06,5194,4905,14580,7335,284,138
2020-07-07,5166,4968,14775,7451,283,140
2020-07-08,5228,5046,14905,7569,283,142
2020-07-09,5270,5164,15054,7689,284,144
2020-07-10,5269,5292,15245,7811,285,146
2020-07-11,5220,5486,15476,7936,286,148
2020-07-12,5208,5766,15694,8066,287,150
2020-07-13,5273,5903,15869,8203,287,152
2020-07-14,5380,6058,16030,8343,288,154
2020-07-15,5467,6264,16184,8487,292,156
2020-07-16,5517,6482,16343,8635,298,158
2020-07-17,5525,6769,16496,8789,304,160
2020-07-18,5511,7094,16655,8949,309,162
2020-07-19,5467,7374,16859,9117,311,164
2020-07-20,5511,7452,17050,9292,312,167
2020-07-21,5617,7527,17246,9469,311,170
