date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,4169,186,216,118,126
2020-04-13,3356,4309,207,254,122,136
2020-04-14,3401,4397,294,295,131,147
2020-04-15,3498,4486,364,338,141,158
2020-04-16,3547,4580,537,382,153,169
2020-04-17,3584,4679,740,428,166,181
2020-04-18,3627,4783,918,477,177,193
2020-04-19,3657,4891,1066,528,185,205
2020-04-20,3735,5003,1156,581,194,218
2020-04-21,3809,5120,1246,637,210,231
2020-04-22,4001,5242,1270,695,229,245
2020-04-23,4229,5369,1286,756,248,259
2020-04-24,4459,5499,1313,820,262,274
2020-04-25,4666,5635,1347,887,275,289
2020-04-26,4848,5775,1382,957,285,305
2020-04-27,5024,5913,1417,1030,297,321
2020-04-28,5212,6054,1447,1106,304,338
2020-04-29,5487,6198,1474,1185,312,355
2020-04-30,5787,6346,1500,1268,324,373
2020-05-01,6124,6497,1530,1354,342,391
2020-05-02,6399,6650,1563,1444,362,410
2020-05-03,6666,6806,1598,1538,378,429
2020-05-04,6934,6964,1633,1636,389,449
2020-05-05,7242,7125,1665,1738,405,469
2020-05-06,7534,7290,1695,1844,423,490
2020-05-07,7875,7457,1720,1954,464,511
2020-05-08,7927,7628,2051,2068,499,533
2020-05-09,7938,7803,2402,2187,528,555
2020-05-10,7848,7982,2770,2310,536,578
2020-05-11,8021,8162,2845,2438,546,602
2020-05-12,8299,8345,2913,2571,566,626
2020-05-13,8628,8533,2987,2709,593,651
2020-05-14,8997,8724,3066,2852,623,676
2020-05-15,9326,8918,3192,3000,651,702
2020-05-16,9606,9117,3317,3153,670,729
2020-05-17,9798,9319,3459,3311,682,756
2020-05-18,9982,9523,3571,3475,690,784
2020-05-19,10172,9731,3678,3645,713,812
2020-05-20,10426,9942,3779,3820,738,841
2020-05-21,10666,10158,3864,4001,762,870
2020-05-22,10943,10378,3951,4188,781,900
2020-05-23,11185,10602,4038,4381,795,931
2020-05-24,11406,10832,4123,4580,806,962
2020-05-25,11586,11094,4211,4786,808,994
2020-05-26,11815,11363,4287,4999,817,1027
2020-05-27,12149,11637,4370,5219,834,1060
2020-05-28,12575,11921,4454,5446,860,1094
2020-05-29,13099,12209,4553,5681,883,1129
2020-05-30,13667,12507,4656,5924,899,1164
2020-05-31,14103,12820,4762,6175,909,1200
2020-06-01,14656,13138,4865,6434,922,1237
2020-06-02,15331,13466,4970,6701,948,1274
2020-06-03,16122,13796,5071,6977,975,1312
2020-06-04,17046,14142,5182,7262,999,1351
2020-06-05,17950,14505,5289,7556,1019,1391
2020-06-06,19186,14889,5404,7860,1036,1431
2020-06-07,20139,15301,5518,8174,1049,1472
2020-06-08,20954,15649,5640,8499,1060,1514
2020-06-09,21781,15998,5751,8833,1076,1557
2020-06-10,22798,16351,5903,9177,1104,1600
2020-06-11,24205,16706,6051,9530,1130,1644
2020-06-12,25658,17066,6170,9893,1160,1688
2020-06-13,27040,17434,6250,10266,1178,1733
2020-06-14,28208,17813,6334,10649,1194,1778
2020-06-15,29574,18193,6464,11042,1207,1824
2020-06-16,31171,18574,6591,11445,1226,1870
2020-06-17,33211,18959,6725,11859,1253,1917
2020-06-18,35615,19353,6865,12283,1284,1964
2020-06-19,38486,19758,7025,12718,1316,2012
2020-06-20,41338,20174,7200,13164,1338,2060
2020-06-21,43703,20604,7388,13621,1348,2109
2020-06-22,46253,21039,7571,14089,1365,2158
2020-06-23,48564,21484,7754,14569,1404,2208
2020-06-24,51224,21933,7940,15061,1452,2258
2020-06-25,53723,22393,8154,15565,1499,2308
2020-06-26,56756,22868,8395,16081,1537,2359
2020-06-27,60006,23355,8658,16610,1570,2410
2020-06-28,62352,23858,8921,17152,1590,2462
2020-06-29,65113,24373,9172,17707,1612,2514
2020-06-30,68201,24900,9435,18276,1656,2566
2020-07-01,72127,25435,9754,18859,1711,2619
2020-07-02,75935,25988,10110,19456,1762,2672
2020-07-03,78995,26563,10506,20068,1793,2725
2020-07-04,82120,27172,10914,20695,1813,2779
2020-07-05,84852,27789,11366,21338,1823,2833
2020-07-06,87871,28426,11819,21997,1860,2887
2020-07-07,90849,29084,12299,22673,1906,2941
