date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,18300,540,547,145,148
2020-04-13,4986,18144,600,573,148,160
2020-04-14,5246,22398,731,599,166,172
2020-04-15,5530,22157,808,631,185,186
2020-04-16,5812,23644,937,663,211,200
2020-04-17,6149,23410,1096,697,232,215
2020-04-18,6572,24351,1201,730,255,230
2020-04-19,6977,24149,1273,765,278,246
2020-04-20,7418,24961,1336,799,300,262
2020-04-21,7891,24718,1413,835,324,278
2020-04-22,8456,25376,1494,870,348,294
2020-04-23,8997,25189,1578,906,377,310
2020-04-24,9593,25834,1652,942,407,326
2020-04-25,10144,25781,1734,979,432,343
2020-04-26,10719,26478,1791,1016,448,359
2020-04-27,11291,26432,1857,1054,467,376
2020-04-28,11855,27073,1933,1092,491,393
2020-04-29,12507,27085,2020,1131,522,410
2020-04-30,13238,27726,2114,1170,551,427
2020-05-01,14042,27878,2204,1210,583,445
2020-05-02,14816,28606,2335,1250,619,463
2020-05-03,15529,28860,2452,1291,653,481
2020-05-04,16191,29528,2588,1332,695,499
2020-05-05,16574,29762,2697,1374,731,518
2020-05-06,17145,30392,2790,1416,759,537
2020-05-07,17724,30665,2882,1459,783,556
2020-05-08,18585,31357,2982,1503,802,575
2020-05-09,19273,31757,3107,1548,826,595
2020-05-10,20078,32456,3199,1593,838,615
2020-05-11,20832,32827,3291,1639,860,635
2020-05-12,21573,33472,3409,1686,890,655
2020-05-13,22317,33858,3544,1734,925,676
2020-05-14,23110,34545,3679,1782,954,697
2020-05-15,23946,35035,3797,1831,979,718
2020-05-16,24682,35850,3902,1881,997,739
2020-05-17,25391,36461,4003,1932,1009,761
2020-05-18,26079,37166,4123,1984,1022,783
2020-05-19,26720,37648,4300,2037,1044,805
2020-05-20,27467,38313,4524,2091,1072,828
2020-05-21,28141,38863,4754,2146,1103,851
2020-05-22,28885,39669,4929,2201,1131,874
2020-05-23,29455,40375,5037,2258,1155,898
2020-05-24,30296,41264,5098,2316,1179,922
2020-05-25,31408,41998,5158,2375,1205,946
2020-05-26,32619,42647,5246,2435,1241,971
2020-05-27,33690,43207,5355,2496,1285,996
2020-05-28,34574,43849,5495,2558,1325,1021
2020-05-29,35539,44469,5621,2621,1355,1046
2020-05-30,36463,45144,5753,2684,1367,1072
2020-05-31,37322,45775,5837,2748,1379,1098
2020-06-01,38097,46406,5926,2813,1391,1124
2020-06-02,38746,46919,6025,2879,1409,1150
2020-06-03,39421,47478,6153,2946,1426,1176
2020-06-04,40042,48013,6280,3014,1442,1203
2020-06-05,40790,48556,6352,3083,1453,1230
2020-06-06,41637,49007,6437,3152,1462,1257
2020-06-07,42481,49530,6492,3222,1470,1284
2020-06-08,43152,49991,6590,3293,1481,1311
2020-06-09,43541,50439,6686,3364,1495,1338
2020-06-10,43878,50852,6799,3436,1510,1365
2020-06-11,44249,51260,6907,3509,1522,1392
2020-06-12,44702,51615,7009,3582,1531,1420
2020-06-13,45219,51905,7103,3656,1540,1448
2020-06-14,45695,52349,7179,3730,1546,1476
2020-06-15,46102,52843,7249,3805,1556,1504
2020-06-16,46429,53262,7333,3880,1568,1532
2020-06-17,46781,53645,7421,3956,1579,1560
2020-06-18,47183,54010,7495,4033,1590,1588
2020-06-19,47672,54347,7554,4110,1598,1616
2020-06-20,48199,54579,7605,4188,1606,1644
2020-06-21,48717,54990,7638,4266,1612,1672
2020-06-22,49181,55363,7678,4345,1625,1700
2020-06-23,49632,55740,7717,4424,1642,1728
2020-06-24,50055,56105,7769,4504,1660,1756
2020-06-25,50515,56451,7817,4584,1678,1784
2020-06-26,51004,56743,7884,4665,1699,1812
2020-06-27,51519,56954,7947,4746,1718,1840
2020-06-28,51994,57221,7998,4827,1732,1867
2020-06-29,52456,57552,8036,4909,1745,1894
2020-06-30,52885,57762,8078,4991,1763,1921
2020-07-01,53218,57915,8235,5073,1788,1948
2020-07-02,53516,58064,8446,5156,1815,1975
2020-07-03,53927,58170,8649,5239,1836,2002
2020-07-04,54485,58327,8745,5322,1853,2029
2020-07-05,55010,58519,8778,5405,1865,2056
2020-07-06,55485,58722,8835,5489,1876,2082
