date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,769,2436,14,32,19,19
2020-04-13,796,2318,19,90,19,20
2020-04-14,821,2342,29,145,20,21
2020-04-15,857,2327,39,200,20,22
2020-04-16,903,2328,48,255,22,23
2020-04-17,1006,2323,58,310,25,24
2020-04-18,1168,2327,68,365,27,25
2020-04-19,1349,2339,78,420,30,26
2020-04-20,1482,2343,87,475,33,27
2020-04-21,1581,2344,97,531,37,28
2020-04-22,1752,2341,107,587,41,29
2020-04-23,1983,2343,117,642,46,30
2020-04-24,2269,2345,127,698,52,31
2020-04-25,2531,2362,136,754,56,32
2020-04-26,2830,2390,146,810,59,33
2020-04-27,3082,2396,156,867,63,34
2020-04-28,3343,2391,166,924,66,35
2020-04-29,3640,2386,175,981,68,36
2020-04-30,4124,2377,185,1038,71,37
2020-05-01,4599,2383,195,1094,74,38
2020-05-02,5045,2401,205,1150,78,39
2020-05-03,5376,2424,214,1207,81,40
2020-05-04,5718,2433,221,1264,84,41
2020-05-05,5980,2444,299,1322,87,42
2020-05-06,6260,2454,449,1380,89,43
2020-05-07,6515,2461,674,1438,91,44
2020-05-08,6756,2470,899,1496,93,45
2020-05-09,6809,2484,1123,1555,95,46
2020-05-10,6778,2521,1348,1614,97,47
2020-05-11,6699,2543,1573,1674,98,48
2020-05-12,6717,2559,1798,1734,102,49
2020-05-13,6772,2565,2022,1795,107,50
2020-05-14,6902,2573,2247,1856,111,51
2020-05-15,7107,2594,2472,1917,117,52
2020-05-16,7182,2628,2697,1978,123,53
2020-05-17,7289,2674,2921,2040,130,54
2020-05-18,7272,2703,3146,2103,134,55
2020-05-19,7358,2737,3371,2167,138,56
2020-05-20,7396,2767,3596,2232,142,57
2020-05-21,7437,2799,3821,2298,145,58
2020-05-22,7491,2846,4045,2364,148,59
2020-05-23,7500,2927,4270,2431,149,60
2020-05-24,7508,2995,4495,2500,150,61
2020-05-25,7500,3080,4720,2571,151,62
2020-05-26,7559,3141,4944,2644,152,63
2020-05-27,7625,3179,5169,2718,156,64
2020-05-28,7739,3220,5394,2793,160,65
2020-05-29,7815,3264,5619,2869,166,66
2020-05-30,7870,3309,5843,2946,171,67
2020-05-31,7873,3377,6068,3024,176,68
2020-06-01,7881,3426,6293,3104,180,69
2020-06-02,7914,3464,6518,3185,183,70
2020-06-03,7940,3490,6755,3267,185,71
2020-06-04,7841,3529,7115,3350,187,72
2020-06-05,7665,3592,7520,3434,187,73
2020-06-06,7424,3678,7936,3519,187,74
2020-06-07,7265,3806,8222,3606,187,75
2020-06-08,7152,3852,8449,3696,188,76
2020-06-09,7094,3883,8637,3787,189,77
2020-06-10,7099,3928,8801,3879,197,78
2020-06-11,7094,3994,8998,3972,206,79
2020-06-12,7016,4124,9261,4067,215,80
2020-06-13,6840,4282,9572,4165,218,81
2020-06-14,6651,4452,9870,4266,219,82
2020-06-15,6533,4545,10117,4372,223,84
2020-06-16,6479,4618,10333,4480,228,86
2020-06-17,6446,4696,10547,4589,234,88
2020-06-18,6387,4783,10785,4700,239,90
2020-06-19,6279,4896,11046,4813,244,92
2020-06-20,6141,5019,11314,4929,247,94
2020-06-21,6028,5167,11551,5048,248,96
2020-06-22,5934,5261,11773,5170,251,98
2020-06-23,5853,5389,11987,5295,254,100
2020-06-24,5799,5480,12166,5423,257,102
2020-06-25,5824,5570,12278,5553,261,104
2020-06-26,5842,5704,12442,5685,264,106
2020-06-27,5777,5896,12688,5820,267,108
2020-06-28,5613,6051,13024,5960,268,110
2020-06-29,5462,6110,13307,6103,270,112
2020-06-30,5368,6138,13535,6248,273,114
2020-07-01,5339,6150,13697,6393,277,116
2020-07-02,5339,6170,13855,6539,280,118
2020-07-03,5354,6230,14009,6685,283,120
2020-07-04,5334,6382,14187,6833,284,122
2020-07-05,5257,6375,14393,6984,284,124
2020-07-06,5194,6270,14580,7135,284,126
2020-07-07,5166,6169,14775,7284,283,128
2020-07-08,5228,6067,14905,7430,283,130
2020-07-09,5270,6007,15054,7574,284,132
2020-07-10,5269,5928,15245,7716,285,134
2020-07-11,5220,5889,15476,7856,286,136
2020-07-12,5208,5901,15694,7996,287,138
2020-07-13,5273,5841,15869,8136,287,140
2020-07-14,5380,5786,16030,8274,288,142
2020-07-15,5467,5757,16184,8411,292,144
2020-07-16,5517,5716,16343,8547,298,146
2020-07-17,5525,5666,16496,8682,304,148
2020-07-18,5511,5619,16655,8816,309,150
2020-07-19,5467,5599,16859,8949,311,152
2020-07-20,5511,5503,17050,9082,312,154
2020-07-21,5617,5399,17246,9212,311,156
2020-07-22,5811,5287,17375,9340,312,158
2020-07-23,5968,5177,17544,9465,314,160
2020-07-24,6066,5032,17747,9588,316,162
2020-07-25,6062,4878,18017,9707,316,164
2020-07-26,6046,4804,18275,9823,316,166
2020-07-27,6124,4735,18449,9937,318,168
2020-07-28,6259,4680,18580,10049,320,170
2020-07-29,6450,4621,18674,10160,324,172
2020-07-30,6638,4562,18833,10270,328,174
